Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special
1	+1	+2	+0	+0	Fast movement, rage
2	+2	+3	+0	+0	Rage power, uncanny dodge
3	+3	+3	+1	+1	Trap sense +1
4	+4	+4	+1	+1	Rage power
5	+5	+4	+1	+1	Improved uncanny dodge
6	+6/+1	+5	+2	+2	Rage power, Trap sense +2
7	+7/+2	+5	+2	+2	Damage reduction 1/—
8	+8/+3	+6	+2	+2	Rage power
9	+9/+4	+6	+3	+3	Trap sense +3
10	+10/+5	+7	+3	+3	Damage reduction 2/—, Rage power
11	+11/+6/+1	+7	+3	+3	Greater rage
12	+12/+7/+2	+8	+4	+4	Rage power, Trap sense +4
13	+13/+8/+3	+8	+4	+4	Damage reduction 3/—
14	+14/+9/+4	+9	+4	+4	Indomitable will, Rage power
15	+15/+10/+5	+9	+5	+5	Trap sense +5
16	+16/+11/+6/+1	+10	+5	+5	Damage reduction 4/—, Rage power
17	+17/+12/+7/+2	+10	+5	+5	Tireless rage
18	+18/+13/+8/+3	+11	+6	+6	Rage power, Trap sense +6
19	+19/+14/+9/+4	+11	+6	+6	Damage reduction 5/—
20	+20/+15/+10/+5	+12	+6	+6	Mighty rage, Rage power
