Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special
1	+1	+2	+0	+0	Challenge 1/day, mount, order, tactician
2	+2	+3	+0	+0	Order ability
3	+3	+3	+1	+1	Cavalier's charge
4	+4	+4	+1	+1	Challenge 2/day, expert trainer
5	+5	+4	+1	+1	Banner
6	+6/+1	+5	+2	+2	Bonus feat
7	+7/+2	+5	+2	+2	Challenge 3/day
8	+8/+3	+6	+2	+2	Order ability
9	+9/+4	+6	+3	+3	Greater tactician
10	+10/+5	+7	+3	+3	Challenge 4/day
11	+11/+6/+1	+7	+3	+3	Mighty charge
12	+12/+7/+2	+8	+4	+4	Bonus feat, demanding challenge
13	+13/+8/+3	+8	+4	+4	Challenge 5/day
14	+14/+9/+4	+9	+4	+4	Greater banner
15	+15/+10/+5	+9	+5	+5	Order ability
16	+16/+11/+6/+1	+10	+5	+5	Challenge 6/day
17	+17/+12/+7/+2	+10	+5	+5	Master tactician
18	+18/+13/+8/+3	+11	+6	+6	Bonus feat
19	+19/+14/+9/+4	+11	+6	+6	Challenge 7/day
20	+20/+15/+10/+5	+12	+6	+6	Supreme charge
