Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special	Spells per Day									
						0	1st	2nd	3rd	4th	5th	6th	7th	8th	9th
1st	+0	+2	+0	+2	Nature bond, nature sense, orisons, wild empathy	3	1	—	—	—	—	—	—	—	—
2nd	+1	+3	+0	+3	Woodland stride	4	2	—	—	—	—	—	—	—	—
3rd	+2	+3	+1	+3	Trackless step	4	2	1	—	—	—	—	—	—	—
4th	+3	+4	+1	+4	Resist nature's lure,Wild shape (1/day)	4	3	2	—	—	—	—	—	—	—
5th	+3	+4	+1	+4		4	3	2	1	—	—	—	—	—	—
6th	+4	+5	+2	+5	Wild shape (2/day)	4	3	3	2	—	—	—	—	—	—
7th	+5	+5	+2	+5		4	4	3	2	1	—	—	—	—	—
8th	+6/+1	+6	+2	+6	Wild shape (3/day)	4	4	3	3	2	—	—	—	—	—
9th	+6/+1	+6	+3	+6	Venom immunity	4	4	4	3	2	1	—	—	—	—
10th	+7/+2	+7	+3	+7	Wild shape (4/day)	4	4	4	3	3	2	—	—	—	—
11th	+8/+3	+7	+3	+7		4	4	4	4	3	2	1	—	—	—
12th	+9/+4	+8	+4	+8	Wild shape (5/day)	4	4	4	4	3	3	2	—	—	—
13th	+9/+4	+8	+4	+8	A thousand faces	4	4	4	4	4	3	2	1	—	—
14th	+10/+5	+9	+4	+9	Wild shape (6/day)	4	4	4	4	4	3	3	2	—	—
15th	+11/+6/+1	+9	+5	+9	Timeless body	4	4	4	4	4	4	3	2	1	—
16th	+12/+7/+2	+10	+5	+10	Wild shape (7/day)	4	4	4	4	4	4	3	3	2	—
17th	+12/+7/+2	+10	+5	+10		4	4	4	4	4	4	4	3	2	1
18th	+13/+8/+3	+11	+6	+11	Wild shape (8/day)	4	4	4	4	4	4	4	3	3	2
19th	+14/+9/+4	+11	+6	+11		4	4	4	4	4	4	4	4	3	3
20th	+15/+10/+5	+12	+6	+12	Wild shape (at will)	4	4	4	4	4	4	4	4	4	4
															
															
Animal Companions		An animal companion's abilities are determined by the druid's level and its animal racial traits. Table: Animal Companion Base Statistics determines many of the base statistics of the animal companion. They remain creatures of the animal type for purposes of determining which spells can affect them.													
															
Class Level	HD	BAB	Fort	Ref	Will	Skills	Feats	Natural Armor Bonus	Str/Dex Bonus	Bonus Tricks	Special				
1st	2	1	3	3	0	2	1	0	0	1	Link, share spells				
2nd	3	2	3	3	1	3	2	0	0	1	—				
3rd	3	2	3	3	1	3	2	2	1	2	Evasion				
4th	4	3	4	4	1	4	2	2	1	2	Ability score increase				
5th	5	3	4	4	1	5	3	2	1	2	—				
6th	6	4	5	5	2	6	3	4	2	3	Devotion				
7th	6	4	5	5	2	6	3	4	2	3	—				
8th	7	5	5	5	2	7	4	4	2	3	—				
9th	8	6	6	6	2	8	4	6	3	4	Ability score increase, Multiattack				
10th	9	6	6	6	3	9	5	6	3	4	—				
11th	9	6	6	6	3	9	5	6	3	4	—				
12th	10	7	7	7	3	10	5	8	4	5	—				
13th	11	8	7	7	3	11	6	8	4	5	—				
14th	12	9	8	8	4	12	6	8	4	5	Ability score increase				
15th	12	9	8	8	4	12	6	10	5	6	Improved evasion				
16th	13	9	8	8	4	13	7	10	5	6	—				
17th	14	10	9	9	4	14	7	10	5	6	—				
18th	15	11	9	9	5	15	8	12	6	7	—				
19th	15	11	9	9	5	15	8	12	6	7	—				
20th	16	12	10	10	5	16	8	12	6	7	Ability score increase				
															
Class Level	This is the character's druid level. The druid's class levels stack with levels of any other classes that are entitled to an animal companion for the purpose of determining the companion's statistics.														
HD	This is the total number of eight-sided (d8) Hit Dice the animal companion possesses, each of which gains a Constitution modifier, as normal.														
BAB	This is the animal companion's base attack bonus. An animal companion's base attack bonus is the same as that of a druid of a level equal to the animal's HD. Animal companions do not gain additional attacks using their natural weapons for a high base attack bonus.														
Fort/Ref/Will	These are the animal companion's base saving throw bonuses. An animal companion has good Fortitude and Reflex saves.														
Skills	This lists the animal's total skill ranks. Animal companions can assign skill ranks to any skill listed under Animal Skills. If an animal companion increases its Intelligence to 10 or higher, it gains bonus skill ranks as normal. Animal companions with an Intelligence of 3 or higher can purchase ranks in any skill. An animal companion cannot have more ranks in a skill than it has Hit Dice.														
Feats	This is the total number of feats possessed by an animal companion. Animal companions should select their feats from those listed under Animal Feats. Animal companions can select other feats, although they are unable to utilize some feats (such as Martial Weapon Proficiency). Note that animal companions cannot select a feat with a requirement of base attack bonus +1 until they gain their second feat at 3 Hit Dice.														
Natural Armor Bonus	The number noted here is an improvement to the animal companion's existing natural armor bonus.														
Str/Dex Bonus	Add this modifier to the animal companion's Strength and Dexterity scores.														
Bonus Tricks	The value given in this column is the total number of “bonus” tricks that the animal knows in addition to any that the druid might choose to teach it (see the Handle Animal skill for more details on how to teach an animal tricks). These bonus tricks don't require any training time or Handle Animal checks, and they don't count against the normal limit of tricks known by the animal. The druid selects these bonus tricks, and once selected, they can't be changed.														
Special	This includes a number of abilities gained by animal companions as they increase in power. Each of these bonuses is described below.														
															
Animal Forms	Each animal companion has different starting sizes, speed, attacks, ability scores, and special qualities. All animal attacks are made using the creature's full base attack bonus unless otherwise noted. Animal attacks add the animal's Strengthmodifier to the damage roll, unless it is its only attack, in which case it adds 1-1/2 its Strengthmodifier. Some have special abilities, such asscent. See Special Abilities for more information on these abilities. As you gain levels, your animal companion improves as well, usually at 4th or 7th level, in addition to the standard bonuses noted on Table: Animal Companion Base Statistics. Instead of taking the listed benefit at 4th or 7th level, you can instead choose to increase the companion's Dexterity and Constitution by 2.														
															
Ape															
Starting Statistics: Size Medium; Speed 30 ft., Climb 30 ft.; AC +1 natural armor; Attack bite (1d4), 2 claws (1d4); Ability Scores Str 13, Dex17, Con 10, Int 2, Wis 12, Cha 7; Special Qualities low-light vision, scent.															
4th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d6), 2 claws (1d6);Ability Scores Str +8, Dex –2, Con +4.															
															
Badger (Wolverine)															
Starting Statistics: Size Small; Speed 30 ft., burrow 10 ft., climb 10 ft.; AC +2 natural armor;Attack bite (1d4), 2 claws (1d3); Ability ScoresStr 10, Dex 17, Con 15, Int 2, Wis 12, Cha 10;Special Attacks rage (as a barbarian for 6 rounds per day); Special Qualities low-light vision, scent.															
4th-Level Advancement: Size Medium; Attackbite (1d6), 2 claws (1d4); Ability Scores Str +4,Dex –2, Con +2.															
															
Bear															
Starting Statistics: Size Small; Speed 40 ft.; AC+2 natural armor; Attack bite (1d4), 2 claws (1d3);Ability Scores Str 15, Dex 15, Con 13, Int 2, Wis12, Cha 6; Special Qualities low-light vision,scent.															
4th-Level Advancement: Size Medium; Attackbite (1d6), 2 claws (1d4); Ability Scores Str +4,Dex –2, Con +2.															
															
Bird (Eagle/Hawk/Owl)															
Starting Statistics: Size Small; Speed 10 ft., fly 80 ft. (average); AC +1 natural armor; Attack bite (1d4), 2 talons (1d4); Ability Scores Str 10, Dex15, Con 12, Int 2, Wis 14, Cha 6; Special Qualities low-light vision.															
4th-Level Advancement: Ability Scores Str +2,Con +2.															
															
Boar															
Starting Statistics: Size Small; Speed 40 ft.; AC+6 natural armor; Attack gore (1d6); Ability Scores Str 13, Dex 12, Con 15, Int 2, Wis 13, Cha4; Special Qualities low-light vision, scent.															
4th-Level Advancement: Size Medium; Attackgore (1d8); Ability Scores Str +4, Dex –2, Con +2;Special Attacks ferocity.															
															
Camel															
Starting Statistics: Size Large; Speed 50 ft.; AC+1 natural armor; Attack bite (1d4) or spit (ranged touch attack, target is sickened for 1d4 rounds, range 10 feet); Ability Scores Str 18, Dex 16, Con14, Int 2, Wis 11, Cha 4; Special Qualities low-light vision, scent.															
4th-Level Advancement: Ability Scores Str +2,Con +2.															
															
Cat, Big (Lion, Tiger)															
Starting Statistics: Size Medium; Speed 40 ft.; AC+1 natural armor; Attack bite (1d6), 2 claws (1d4);Ability Scores Str 13, Dex 17, Con 13, Int 2, Wis15, Cha 10; Special Attacks rake (1d4); Special Qualities low-light vision, scent.															
7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8), 2 claws (1d6);Ability Scores Str +8, Dex –2, Con +4; Special Attacks grab, pounce, rake (1d6) .															
															
Cat, Small (Cheetah, Leopard)															
Starting Statistics: Size Small; Speed 50 ft.; AC+1 natural armor; Attack bite (1d4 plus trip), 2 claws (1d2); Ability Scores Str 12, Dex 21, Con13, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent.															
