Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special
1	+1	+2	+0	+0	Bonus feat
2	+2	+3	+0	+0	Bonus feat, bravery +1
3	+3	+3	+1	+1	Armor training 1
4	+4	+4	+1	+1	Bonus feat
5	+5	+4	+1	+1	Weapon training 1
6	+6/+1	+5	+2	+2	Bonus feat, bravery +2
7	+7/+2	+5	+2	+2	Armor training 2
8	+8/+3	+6	+2	+2	Bonus feat
9	+9/+4	+6	+3	+3	Weapon training 2
10	+10/+5	+7	+3	+3	Bonus feat, bravery +3
11	+11/+6/+1	+7	+3	+3	Armor training 3
12	+12/+7/+2	+8	+4	+4	Bonus feat
13	+13/+8/+3	+8	+4	+4	Weapon training 3
14	+14/+9/+4	+9	+4	+4	Bonus feat, bravery +4
15	+15/+10/+5	+9	+5	+5	Armor training 4
16	+16/+11/+6/+1	+10	+5	+5	Bonus feat
17	+17/+12/+7/+2	+10	+5	+5	Weapon training 4
18	+18/+13/+8/+3	+11	+6	+6	Bonus feat, bravery +5
19	+19/+14/+9/+4	+11	+6	+6	Armor mastery
20	+20/+15/+10/+5	+12	+6	+6	Bonus feat, weapon mastery
