Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special
1	+1	+2	+2	+0	Deeds, grit, gunsmith
2	+2	+3	+3	+0	Nimble +1
3	+3	+3	+3	+1	Deeds
4	+4	+4	+4	+1	Bonus feat
5	+5	+4	+4	+1	Gun training 1
6	+6/+1	+5	+5	+2	Nimble +2
7	+7/+2	+5	+5	+2	Deeds
8	+8/+3	+6	+6	+2	Bonus feat
9	+9/+4	+6	+6	+3	Gun training 2
10	+10/+5	+7	+7	+3	Nimble +3
11	+11/+6/+1	+7	+7	+3	Deeds
12	+12/+7/+2	+8	+8	+4	Bonus feat
13	+13/+8/+3	+8	+8	+4	Gun training 3
14	+14/+9/+4	+9	+9	+4	Nimble +4
15	+15/+10/+5	+9	+9	+5	Deeds
16	+16/+11/+6/+1	+10	+10	+5	Bonus feat
17	+17/+12/+7/+2	+10	+10	+5	Gun training 4
18	+18/+13/+8/+3	+11	+11	+6	Nimble +5
19	+19/+14/+9/+4	+11	+11	+6	Deeds
20	+20/+15/+10/+5	+12	+12	+6	Bonus feat, true grit
