Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special
1	+0	+0	+2	+0	Poison use, sneak attack +1d6
2	+1	+0	+3	+0	Ki pool, ninja trick
3	+2	+1	+3	+1	No trace +1, sneak attack +2d6
4	+3	+1	+4	+1	ninja trick, uncanny dodge
5	+3	+1	+4	+1	Sneak attack +3d6
6	+4	+2	+5	+2	Light steps, ninja trick, no trace +2
7	+5	+2	+5	+2	Sneak attack +4d6
8	+6/+1	+2	+6	+2	Improved uncanny dodge, ninja trick
9	+6/+1	+3	+6	+3	No trace +3, sneak attack +5d6
10	+7/+2	+3	+7	+3	Master tricks, ninja trick
11	+8/+3	+3	+7	+3	Sneak attack +6d6
12	+9/+4	+4	+8	+4	ninja trick, no trace +4
13	+9/+4	+4	+8	+4	Sneak attack +7d6
14	+10/+5	+4	+9	+4	ninja trick
15	+11/+6/+1	+5	+9	+5	No trace +5, sneak attack +8d6
16	+12/+7/+2	+5	+10	+5	ninja trick
17	+12/+7/+2	+5	+10	+5	Sneak attack +9d6
18	+13/+8/+3	+6	+11	+6	ninja trick, no trace +6
19	+14/+9/+4	+6	+11	+6	Sneak attack +10d6
20	+15/+10/+5	+6	+12	+6	Hidden master, ninja trick
