Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special	1st	2nd	3rd	4th
1	+1	+2	+0	+2	Aura of good, detect evil, smite evil 1/day	-	-	-	-
2	+2	+3	+0	+3	Divine grace, lay on hands	-	-	-	-
3	+3	+3	+1	+3	Aura of courage, divine health, mercy	-	-	-	-
4	+4	+4	+1	+4	Channel positive energy, smite evil 2/day	-	-	-	-
5	+5	+4	+1	+4	Divine bond	1	-	-	-
6	+6/+1	+5	+2	+5	Mercy	1	-	-	-
7	+7/+2	+5	+2	+5	Smite evil 3/day	1	-	-	-
8	+8/+3	+6	+2	+6	Aura of resolve	1	1	-	-
9	+9/+4	+6	+3	+6	Mercy	2	1	-	-
10	+10/+5	+7	+3	+7	Smite evil 4/day	2	1	-	-
11	+11/+6/+1	+7	+3	+7	Aura of justice	2	1	1	-
12	+12/+7/+2	+8	+4	+8	Mercy	2	2	1	-
13	+13/+8/+3	+8	+4	+8	Smite evil 5/day	3	2	1	-
14	+14/+9/+4	+9	+4	+9	Aura of faith	3	2	1	1
15	+15/+10/+5	+9	+5	+9	Mercy	3	2	2	1
16	+16/+11/+6/+1	+10	+5	+10	Smite evil 6/day	3	3	2	1
17	+17/+12/+7/+2	+10	+5	+10	Aura of righteousness	4	3	2	1
18	+18/+13/+8/+3	+11	+6	+11	Mercy	4	3	2	2
19	+19/+14/+9/+4	+11	+6	+11	Smite evil 7/day	4	3	3	2
20	+20/+15/+10/+5	+12	+6	+12	Holy champion	4	4	3	3
