Name	Aura	Caster Level	Slot	Weight	Description	Construction
Amulet of Inscapable Location	moderate abjuration	10th	neck	1/2 lb	This device appears to prevent location, scrying and detection, or influence by detect thoughts or telepathy, as per an amulet of proof against detection and location. Actually, the amulet gives the wearer a –10 penalty on all saves against divination spells.	amulet of proof against detection and location
Armor of Arrow Attraction	strong abjuration	16th	armor	50 lbs	Magical analysis indicates that this armor is a normal suit of +3 full plate. The armor works normally with regard to melee attacks but actually attracts ranged weapons. The wearer takes a –15 penalty to AC against ranged weapons. The true nature of the armor does not reveal itself until the character is fired upon in earnest.	+3 full plate
Armor of Rage	strong necromancy	16th	body	50 lbs	This armor is similar in appearance to breastplate of command and functions as a suit of +1 breastplate. However, when it is worn, the armor causes the character to take a –4 penalty to Charisma. All unfriendly characters within 300 feet have a +1 morale bonus on attack rolls against her. The effect is not noticeable to the wearer or those affected. In other words, the wearer does not immediately notice that donning the armor is the cause of her problems, nor do foes understand the reason for the depth of their enmity.	breastplate of command, +1 breastplate
Bag of Devouring	strong conjuration	17th	-	15 lbs	This bag appears to be an ordinary sack. Detection for magical properties makes it seem as if it were a bag of holding. The sack is, however, something entirely different and more insidious. It is—in fact, one of the feeding orifices of an extradimensional creature.  Any substance of animal or vegetable nature is subject to “swallowing'' if thrust within the bag. The bag of devouring is 90% likely to ignore any initial intrusion, but anytime thereafter that it senses living flesh within (such as if someone reaches into the bag to pull something out), it is 60% likely to close around the offending member and attempt to draw the whole victim in. The bag has a +8 bonus on combat maneuver checks made to grapple. If it pins a creature, it pulls them inside as a free action. The bag has CMD of 18 for those attempting to break free.  The bag can hold up to 30 cubic feet of matter. It acts as a bag of holding type I, but each hour it has a 5% cumulative chance of swallowing the contents and then spitting the stuff out in some nonspace or on some other plane. Creatures drawn within are consumed in 1 round. The bag destroys the victim's body and prevents any form of raising or resurrection that requires part of the corpse. There is a 50% chance that a wish, miracle, or true resurrection spell can restore a devoured victim to life. Check once for each destroyed creature. If the check fails, the creature cannot be brought back to life by mortal magic.	bag of holding (any type)
Boots of Dancing	strong enchantment	16th	feet	1 lb	These boots appear and function as one of the other kinds of magic boots. When the wearer is in (or fleeing from) melee combat, boots of dancing impede movement, making him behave as if irresistible dance had been cast upon him. Only a remove curse spell enables the wearer to be rid of the boots once their true nature is revealed.	boots of elvenkind, boots of levitation, boots of speed, boots of striding and springing, boots of teleportation, boots of the winterlands, winged boots
Bracers of Defencelessness	strong conjuration	16th	arms	1 lb	These bejeweled and shining bracers initially appear to be bracers of armor +5 and actually serve as such until the wearer is attacked in anger by an enemy with a Challenge Rating equal to or greater than her level. At that moment and thereafter, the bracers cause a –5 penalty to AC. Once their curse is activated, bracers of defenselessness can be removed only by means of a remove curse spell.	bracers of armor +5
Broom of Animated Attack	moderate transmutation	10th	-	3 lbs	This item is indistinguishable in appearance from a normal broom. It is identical to a broom of flying by all tests short of attempted use.  If a creature attempts to fly using the broom, the broom does a loop-the-loop with its hopeful rider, dumping him on his head from 1d4+5 feet off the ground (no falling damage, since the fall is less than 10 feet). The broom then attacks the victim, swatting the victim's face with the straw or twig end and beating him with the handle end. The broom gets two attacks per round with each end (two swats with the straw and two with the handle, for a total of four attacks per round). It attacks with a +5 bonus on each attack roll. The straw end causes a victim to be blinded for 1 round when it hits. The handle deals 1d6 points of damage when it hits. The broom has AC 13, CMD 17, 18 hit points, and hardness 4.	broom of flying
Crystal Hypnosis Ball	strong divination;	17th	-	7 lbs	This cursed scrying device is indistinguishable, at first glance, from a normal crystal ball. However, anyone attempting to use the scrying device becomes fascinated for 1d6 minutes, and a telepathic suggestion is implanted in his mind (Will DC 19 negates).  The user of the device believes that the desired creature or scene was viewed, but actually he came under the influence of a powerful wizard, lich, or even some power or being from another plane. Each further use brings the crystal hypnosis ball gazer deeper under the influence of the controller, either as a servant or a tool. Note that throughout this time, the user remains unaware of his subjugation.	crystal ball
Dust of Sneezing and Choking	moderate conjuration	7th	-	-	This fine dust appears to be dust of appearance. If cast into the air, it causes those within a 20-foot spread to fall into fits of sneezing and coughing. Those failing a DC 15 Fortitude save take 3d6 points of Constitution damage immediately. Those who succeed on this saving throw are nonetheless disabled by choking (treat as stunned) for 5d4 rounds.	dust of appearance, dust of tracelessness
Flask of Curses	moderate conjuration	7th	-	2 lbs	This item looks like an ordinary beaker, bottle, container, decanter, flask, or jug. It may contain a liquid, or it may emit smoke. When the flask is first unstoppered, all within 30 feet must make a DC 17 Will save or be cursed, taking a –2 penalty on attack rolls, saving throws, and skill checks until aremove curse spell is cast upon them.	decanter of endless water, efreeti bottle, eversmoking bottle, iron flask
