Ring Name	Aura	Caster Level	Price	Description	Construction
Ring of animal friendship	faint enchantment	3rd	10,800 gp	A ring of animal friendship always bears some sort of animal-like design in its craftsmanship. On command, this ring affects an animal as if the wearer had cast charm animal.	Forge Ring, charm animal; Cost 5,400 gp
Ring of blinking	moderate transmutation	7th	27,000 gp	On command, this ring makes the wearer blink, as the blink spell.	Forge Ring, blink; Cost 13,500 gp
Ring of charmeleon power	faint illusion	3rd	12,700 gp	As a free action, the wearer of this ring can gain the ability to magically blend in with the surroundings. This provides a +10 competence bonus on herStealth checks. As a standard action, she can also use the spell disguise self as often as she wants.	Forge Ring, disguise self, invisibility; Cost 6,350 gp
Ring of Climbing	faint transmutation	5th	2,500 gp	This ring is actually a magic leather cord that ties around a finger. It continually grants the wearer a +5 competence bonus on Climb checks.	Forge Ring, creator must have 5 ranks in the Climb skill; Cost 1,250 gp
Ring of Climbing, inproved	faint transmutation	5th	10,000 gp	As a ring of climbing, except it grants a +10 competence bonus on its wearer's Climb checks.	Forge Ring, creator must have 10 ranks in the Climb skill; Cost 5,000 gp
Ring of Counterspells	moderate evocation	11th	4,000 gp	This ring might seem to be a ring of spell storing upon first examination. However, while it allows a single spell of 1st through 6th level to be cast into it, that spell cannot be cast out of the ring again. Instead, should that spell ever be cast upon the wearer, the spell is immediately countered, as a counterspell action, requiring no action (or even knowledge) on the wearer's part. Once so used, the spell cast within the ring is gone. A new spell (or the same one as before) may be placed into it again.	Forge Ring, imbue with spell ability; Cost 2,000 gp
Ring of Djinni calling	strong conjuration	17th	125,000 gp	One of the many rings of fable, this “genie” ring is useful indeed. It serves as a special gate by means of which a specific djinni can be called from the Plane of Air. When the ring is rubbed (a standard action), the call goes out, and the djinni appears on the next round. The djinni faithfully obeys and serves the wearer of the ring, but never for more than 1 hour per day. If the djinni of the ring is ever killed, the ring becomes nonmagical and worthless.	Forge Ring, gate; Cost 62,500 gp
Ring of Elemental Command	strong conjuration	15th	200,000 gp	All four kinds of elemental command rings are very powerful. Each appears to be nothing more than a lesser magic ring until fully activated (by meeting a special condition, such as single-handedly slaying an elemental of the appropriate type or exposure to a sacred material of the appropriate element), but each has certain other powers as well as the following common properties.  Elementals of the plane to which the ring is attuned can't attack the wearer, or even approach within 5 feet of him. If the wearer desires, he may forego this protection and instead attempt to charm the elemental (as charm monster, Will DC 17 negates). If the charm attempt fails, however, absolute protection is lost and no further attempt at charming can be made.  Creatures from the plane to which the ring is attuned who attack the wearer take a –1 penalty on their attack rolls. The ring wearer makes applicable saving throws against the extraplanar creature's attacks with a +2 resistance bonus. He gains a +4 morale bonus on all attack rolls against such creatures. Any weapon he uses bypasses the damage reduction of such creatures, regardless of any qualities the weapon may or may not have.  The wearer of the ring is able to converse with creatures from the plane to which his ring is attuned. These creatures recognize that he wears the ring, and show a healthy respect for the wearer if alignments are similar. If alignments are opposed, creatures fear the wearer if he is strong. If he is weak, they hate and desire to slay him.  The possessor of a ring of elemental command takes a saving throw penalty as follows:  Element        Saving Throw Penalty Air        –2 against earth-based effects Earth        –2 against air- or electricity-based effects Fire        –2 against water- or cold-based effects Water        –2 against fire-based effects In addition to the powers described above, each specific ring gives its wearer the following abilities according to its kind.  Ring of Elemental Command (Air)  Feather fall (unlimited use, wearer only) Resist energy (electricity) (unlimited use, wearer only) Gust of wind (twice per day) Wind wall (unlimited use) Air walk (once per day, wearer only) Chain lightning (once per week) The ring appears to be a ring of feather falling until a certain condition is met to activate its full potential. It must be reactivated each time a new wearer acquires it.  Ring of Elemental Command (Earth)  Meld into stone (unlimited use, wearer only) Soften earth and stone (unlimited use) Stone shape (twice per day) Stoneskin (once per week, wearer only) Passwall (twice per week) Wall of stone (once per day) The ring appears to be a ring of meld into stone (allowing the wearer to cast meld into stone at will) until the established condition is met.  Ring of Elemental Command (Fire)  Resist energy (fire) (as a major ring of energy resistance [fire]) Burning hands (unlimited use) Flaming sphere (twice per day) Pyrotechnics (twice per day) Wall of fire (once per day) Flame strike (twice per week) The ring appears to be a major ring of energy resistance (fire) until the established condition is met.  Ring of Elemental Command (Water)  Water walk (unlimited use) Create water (unlimited use) Water breathing (unlimited use) Wall of ice (once per day) Ice storm (twice per week) Control water (twice per week) The ring appears to be a ring of water walking until the established condition is met.	Forge Ring, summon monster VI, all appropriate spells; Cost 100,000 gp
Ring of Energy Restance	faint (minor) or moderate (major or greater) abjuration	3rd (minor), 7th (major), or 11th (greater)	12,000 gp (minor), 28,000 gp (major), 44,000 gp (greater)	This ring continually protects the wearer from damage from one type of energy—acid, cold, electricity, fire, or sonic (chosen by the creator of the item; determine randomly if found as part of a treasure hoard). Each time the wearer would normally take such damage, subtract the ring's resistance value from the damage dealt. A minor ring of energy resistance grants 10 points of resistance. A major ring of energy resistance grants 20 points of resistance. A greater ring of energy resistance grants 30 points of resistance.	Forge Ring, resist energy; Cost 6,000 gp (minor), 14,000 gp (major), 22,000 gp (greater)
Ring of Evasion	moderate transmutation	7th	25,000 gp	This ring continually grants the wearer the ability to avoid damage as if she had evasion. Whenever she makes a Reflex saving throw to determine whether she takes half damage, a successful save results in no damage.	Forge Ring, jump; Cost 12,500 gp
