Item	Cost	Weight
Backpack (empty)	2 gp	2 lbs.
Barrel (empty)	2 gp	30 lbs.
Basket (empty)	4 sp	1 lb.
Bedroll	1 sp	5 lbs.
Bell	1 gp	-
Blanket, winter	5 sp	3 lbs.
Block and tackle	5 gp	5 lbs.
Bottle, glass	2 gp	1 lb.
Bucket (empty)	5 sp	2 lbs.
Caltrops	1 gp	2 lbs.
Candle	1 cp	-
Canvas (sq. yd.)	1 sp	1 lb.
Case, map or scroll	1 gp	1/2 lb.
Chain (10 ft.)	30 gp	2 lbs.
Chalk, 1 piece	1 cp	-
Chest (empty)	2 gp	25 lbs.
Crowbar	2 gp	5 lbs.
Firewood (per day)	1 cp	20 lbs.
Fishhook	1 sp	-
Fishing net, 25 sq. ft.	4 gp	5 lbs.
Flask (empty)	3 cp	1-1/2 lbs.
Flint and steel	1 gp	-
Grappling hook	1 gp	4 lbs.
Hammer	5 sp	2 lbs.
Hourglass	25 gp	1 lb.
Ink (1 oz. vial)	8 gp	-
Inkpen	1 sp	-
Jug, clay	3 cp	9 lbs.
Ladder, 10-foot	2 sp	20 lbs.
Lamp, common	1 sp	1 lb.
Lantern, bullseye	12 gp	3 lbs.
Lantern, hooded	7 gp	2 lbs.
Lock, Simple	20 gp	1 lb.
Lock, Average	40 gp	1 lb.
Lock, Good	80 gp	1 lb.
Lock, Superior	150 gp	1 lb.
Manacles	15 gp	2 lbs.
Manacles, masterwork	50 gp	2 lbs.
Mirror, small steel	10 gp	1/2 lb.
Mug/Tankard, clay	2 cp	1 lb.
Oil (1-pint flask)	1 sp	1 lb.
Paper (sheet)	4 sp	-
Parchment (sheet)	2 sp	-
Pick, miner's	3 gp	10 lbs.
Pitcher, clay	2 cp	5 lbs.
Piton	1 sp	1/2 lb.
Pole, 10-foot	5 cp	8 lbs.
Pot, iron	8 sp	4 lbs.
Pouch, belt (empty)	1 gp	1/2 lb.
Ram, portable	10 gp	20 lbs.
Rations, trail (per day)	5 sp	1 lb.
Rope, hemp (50 ft.)	1 gp	10 lbs.
Rope, silk (50 ft.)	10 gp	5 lbs.
Sack (empty)	1 sp	1/2 lb.
Sealing wax	1 gp	1 lb.
Sewing needle	5 sp	-
Shovel or spade	2 gp	8 lbs.
Signal whistle	8 sp	-
Signet ring	5 gp	-
Sledge	1 gp	10 lbs.
Soap (per lb.)	5 sp	1 lb.
Spyglass	1,000 gp	1 lb.
Tent	10 gp	20 lbs.
Torch	1 cp	1 lb.
Vial, ink or potion	1 gp	-
Water clock	1,000 gp	200 lbs.
Waterskin	1 gp	4 lbs.
Whetstone	2 cp	1 lb.
Acid (flask)	10 gp	1 lb.
Alchemist's fire (flask)	20 gp	1 lb.
Antitoxin (vial)	50 gp	-
Everburning torch	110 gp	1 lb.
Holy water (flask)	25 gp	1 lb.
Smokestick	20 gp	1/2 lb.
Sunrod	2 gp	1 lb.
Tanglefoot bag	50 gp	4 lbs.
Thunderstone	30 gp	1 lb.
Tindertwig	1 gp	-
Alchemist's lab	200 gp	40 lbs.
Artisan's tools	5 gp	5 lbs.
Artisan's tools, masterwork	55 gp	5 lbs.
Climber's kit	80 gp	5 lbs.
Disguise kit	50 gp	8 lbs.
Healer's kit	50 gp	1 lb.
Holly and mistletoe	-	-
Holy symbol, wooden	1 gp	-
Holy symbol, silver	25 gp	1 lb.
Magnifying glass	100 gp	-
Musical instrument, common	5 gp	3 lbs.
