Gauntlet	Unarmed Attacks	Simple Weapon	2 gp	1d2	1d3	x2	-	1 lb.	B	-
Unarmed strike	Unarmed Attacks	Simple Weapon	-	1d2	1d3	x2	-	-	B	nonlethal
Dagger	Light Melee Weapon	Simple Weapon	2 gp	1d3	1d4	19-20/x2	10 ft.	1 lb.	P or S	-
Dagger, punching	Light Melee Weapon	Simple Weapon	2 gp	1d3	1d4	x3	-	1 lb.	P	-
Gauntlet, spiked	Light Melee Weapon	Simple Weapon	5 gp	1d3	1d4	x2	-	1 lb.	P	-
Mace, light	Light Melee Weapon	Simple Weapon	5 gp	1d4	1d6	x2	-	4 lbs.	B	-
Sickle	Light Melee Weapon	Simple Weapon	6 gp	1d4	1d6	x2	-	2 lbs.	S	trip
Club	One-Handed Melee Weapon	Simple Weapon	-	1d4	1d6	x2	10 ft.	3 lbs.	B	-
Mace, heavy	One-Handed Melee Weapon	Simple Weapon	12 gp	1d6	1d8	x2	-	8 lbs.	B	-
Morningstar	One-Handed Melee Weapon	Simple Weapon	8 gp	1d6	1d8	x2	-	6 lbs.	B and P	-
Shortspear	One-Handed Melee Weapon	Simple Weapon	1 gp	1d4	1d6	x2	20 ft.	3 lbs.	P	-
Longspear	Two-Handed Melee Weapon	Simple Weapon	5 gp	1d6	1d8	x3	-	9 lbs.	P	brace, reach
Quarterstaff	Two-Handed Melee Weapon	Simple Weapon	-	1d4/1d4	1d6/1d6	x2	-	4 lbs.	B	double, monk
Spear	Two-Handed Melee Weapon	Simple Weapon	2 gp	1d6	1d8	x3	20 ft.	6 lbs.	P	brace
Blowgun	Ranged Weapon	Simple Weapon	2 gp	1	1d2	x2	20 ft.	1 lb.	P	-
Darts, blowgun (10)	Ranged Weapon	Simple Weapon	5 sp	-	-	-	-	-	-	-
Crossbow, heavy	Ranged Weapon	Simple Weapon	50 gp	1d8	1d10	19-20/x2	120 ft.	8 lbs.	P	-
Bolts, crossbow (10)	Ranged Weapon	Simple Weapon	1 gp	-	-	-	-	1 lb.	-	-
Crossbow, light	Ranged Weapon	Simple Weapon	35 gp	1d6	1d8	19-20/x2	80 ft.	4 lbs.	P	-
Bolts, crossbow (10)	Ranged Weapon	Simple Weapon	1 gp	-	-	-	-	1 lb.	-	-
Dart	Ranged Weapon	Simple Weapon	5 sp	1d3	1d4	x2	20 ft.	1/2 lb.	P	-
Javelin	Ranged Weapon	Simple Weapon	1 gp	1d4	1d6	x2	30 ft.	2 lbs.	P	-
Sling	Ranged Weapon	Simple Weapon	-	1d3	1d4	x2	50 ft.	-	B	-
Bullets, sling (10)	Ranged Weapon	Simple Weapon	1 sp	-	-	-	-	5 lbs.	-	-
Axe, throwing	Light Melee Weapon	Martial Weapon	8 gp	1d4	1d6	x2	10 ft.	2 lbs.	S	-
Hammer, light	Light Melee Weapon	Martial Weapon	1 gp	1d3	1d4	x2	20 ft.	2 lbs.	B	-
Handaxe	Light Melee Weapon	Martial Weapon	6 gp	1d4	1d6	x3	-	3 lbs.	S	-
Kukri	Light Melee Weapon	Martial Weapon	8 gp	1d3	1d4	18-20x2	-	2 lbs.	S	-
Pick, light	Light Melee Weapon	Martial Weapon	4 gp	1d3	1d4	x4	-	3 lbs.	P	-
Sap	Light Melee Weapon	Martial Weapon	1 gp	1d4	1d6	x2	-	2 lbs.	B	nonlethal
Shield, light	Light Melee Weapon	Martial Weapon	special	1d2	1d3	x2	-	special	B	-
Spiked armor	Light Melee Weapon	Martial Weapon	special	1d4	1d6	x2	-	special	P	-
Spiked shield, light	Light Melee Weapon	Martial Weapon	special	1d3	1d4	x2	-	special	P	-
Starknife	Light Melee Weapon	Martial Weapon	24 gp	1d3	1d4	x3	20 ft.	3 lbs.	P	-
Short Sword	Light Melee Weapon	Martial Weapon	10 gp	1d4	1d6	19-20/x2	-	2 lbs.	P	-
Battleaxe	One-Handed Melee Weapon	Martial Weapon	10 gp	1d6	1d8	x3	-	6 lbs.	S	-
Flail	One-Handed Melee Weapon	Martial Weapon	8 gp	1d6	1d8	x2	-	5 lbs.	B	disarm, trip
Longsword	One-Handed Melee Weapon	Martial Weapon	15 gp	1d6	1d8	19-20/x2	-	4 lbs.	S	-
Pick, heavy	One-Handed Melee Weapon	Martial Weapon	8 gp	1d4	1d6	x4	-	6 lbs.	P	-
Rapier	One-Handed Melee Weapon	Martial Weapon	20 gp	1d4	1d6	18-20x2	-	2 lbs.	P	-
Scimitar	One-Handed Melee Weapon	Martial Weapon	15 gp	1d4	1d6	18-20x2	-	4 lbs.	S	-
Shield, heavy	One-Handed Melee Weapon	Martial Weapon	special	1d3	1d4	x2	-	special	B	-
Spiked shield, heavy	One-Handed Melee Weapon	Martial Weapon	special	1d4	1d6	x2	-	special	P	-
Trident	One-Handed Melee Weapon	Martial Weapon	15 gp	1d6	1d8	x2	10 ft.	4 lbs.	P	brace
Warhammer	One-Handed Melee Weapon	Martial Weapon	12 gp	1d6	1d8	x3	-	5 lbs.	B	-
Falchion	Two-Handed Melee Weapon	Martial Weapon	75 gp	1d6	2d4	18-20x2	-	8 lbs.	S	-
Glaive	Two-Handed Melee Weapon	Martial Weapon	8 gp	1d8	1d10	x3	-	10 lbs.	S	reach
Greataxe	Two-Handed Melee Weapon	Martial Weapon	20 gp	1d10	1d12	x3	-	12 lbs.	S	-
Greatclub	Two-Handed Melee Weapon	Martial Weapon	5 gp	1d8	1d10	x2	-	8 lbs.	B	-
Flail, heavy	Two-Handed Melee Weapon	Martial Weapon	15 gp	1d8	1d10	19-20/x2	-	10 lbs.	B	disarm, trip
Greatsword	Two-Handed Melee Weapon	Martial Weapon	50 gp	1d10	2d6	19-20/x2	-	8 lbs.	S	-
Guisarme	Two-Handed Melee Weapon	Martial Weapon	9 gp	1d6	2d4	x3	-	12 lbs.	S	reach, trip
Halberd	Two-Handed Melee Weapon	Martial Weapon	10 gp	1d8	1d10	x3	-	12 lbs.	P or S	brace, trip
Lance	Two-Handed Melee Weapon	Martial Weapon	10 gp	1d6	1d8	x3	-	10 lbs.	P	reach
Ranseur	Two-Handed Melee Weapon	Martial Weapon	10 gp	1d6	2d4	x3	-	12 lbs.	P	disarm, reach
Scythe	Two-Handed Melee Weapon	Martial Weapon	18 gp	1d6	2d4	x4	-	10 lbs.	P or S	trip
