Name	Aura	Caster Level	Slot	Price	Weight	Description	Construction
All Tools Vest	faint conjuration	1st	Chest	1,800 gp	5 lbs	The stitching along the many pockets of this light leather vest depicts cheerful laborers going about their daily work. Once per day, as a standard action, the wearer can speak its command word and order it to bring forth all the standard tools required to make checks for any one Craft skill. These tools appear in the countless pockets of the vest or, if too heavy, on the floor, on a nearby shelf, on a workbench, or in a toolbox or cupboard that appears nearby. Once summoned, they remain for 24 hours or until another creature touches them, whichever comes first.	Craft Wondrous Item, summon instrument; Cost 900 gp
Amulet of Magecraft	moderate universal	9th	Neck	20,000 gp	2 lbs	Each silver link that makes up this heavy necklace represents a well-known concept of arcane theory. A universalist wizard who selects the necklace as his bonded object (which counts as an amulet) may choose one school of spells each day when he prepares spells. He then can use the necklace to spontaneously convert any prepared wizard spell of that school into any other wizard spell of that school he knows; the desired spell must be of the same level or lower than the prepared spell. For example, if the wizard chose “evocation” when he prepared his spells that morning, until the next time he prepares spells, he can spontaneously convert a prepared fireball into any other evocation wizard spell of 3rd level or lower that he knows.	Craft Wondrous Item, permanency, creator must be a universalist; Cost 10,000 gp
Amulet of Spell Cunning	moderate transmutation	7th	Neck	10,000 gp	1 lb	This silver locket only has power when used as a wizard's bonded object. It allows a wizard to prepare an additional 3 levels of spells per day.	Craft Wondrous Item, mnemonic enhancer; Cost 5,000 gp
Annihilation Spectacles	moderate transmutation	11th	Eyes	25,000 gp	1/4 lbs	Creatures viewed through these darkly tinted glasses sometimes seem, ever so briefly, to flicker in and out of existence. A transmuter can use these spectacles to spontaneously convert any prepared wizard transmutation spell into any other wizard transmutation spell he knows; the desired spell must be of the same level or lower than the prepared spell. Once per day, he may use the spectacles to spontaneously cast disintegrate in place of one of his prepared transmutation wizard spells of 6th level or higher, even if he doesn't know that spell.	Craft Wondrous Item, disintegrate, creator must be a transmuter; Cost 12,500 gp
Apple of Eternal Sleep	moderate enchantment	10th	-	2,500 gp	-	This beautiful, ripe red apple appears fresh and tempting. Should anyone bite into it (even a small taste), he must make an immediate DC 19 Will saving throw or be stricken by eternal sleep, the same as the witch's hex of that name. The victim can only be awakened by a casting of break enchantment, limited wish, wish, or miracle, or by a kiss from someone of royal blood.	Brew Potion, Craft Wondrous Item, eternal sleep hex; Cost 1,125 gp
Assisting Glove	faint transmutation	1st	Hands	180 gp	1 lb	The wearer of this simple glove can speak a command word to transform it into a glowing disembodied hand. As a swift action, the wearer can have the glove assist him with a task as if using the aid another action; the glove uses the wearer's base attack bonus or skill ranks when making the check to see if aid another is successful (it does not gain the benefit of the wearer's ability scores or other bonuses). The hand remains until it has attempted one action or until 1 minute passes, whichever comes first, at which time it becomes a nonmagical lambskin glove.	Craft Wondrous Item, mage hand, unseen servant; Cost 90 gp
Bandages of Rapid Recovery	faint conjuration (healing)	1st	chest	200 gp	1 lb	these linen bandages have the same color and softness as the feathers of a dove, but their antiseptic smell suggests a less natural origin. Any creature wrapped in these bandages recovers from wounds and ability damage each day as if receiving complete bed rest regardless of activity (Pathfinder RPG Core Rulebook 191). A creature actually receiving long-term care (from the Heal skill) or complete bed rest while wearing the bandages gains a +4 bonus to its effective level or Hit Dice when determining how many hit points it recovers each day. The bandages are destroyed once removed or when the wearer recovers all hit points and ability damage, whichever comes first.	Craft Wondrous Item, cure light wounds, lesser restoration, stabilize; Cost 100 gp
Book of the Loremaster	moderate divination	7th	-	15,000 gp	2 lbs	This digest-sized book contains a seemingly random collection of words, phrases, and strange mnemonic aids. Three times each day, a bard can consult it while using the lore master class feature in order to gain a +5 competence bonus when taking 10 or taking 20 on a Knowledge check.	Craft Wondrous Item, clairaudience/clairvoyance; Cost 7,500 gp
Boots of Friendly Terrain	faint transmutation	5th	feet	2,400 gp	1 lb	Each pair of these supple leather boots corresponds to a specific sort of environment as defined by the ranger's favored terrain class feature (jungle, plains, and so on). A ranger wearing the boots can treat the corresponding environment of the boots as one of his favored terrains, granting him a +2 bonus. If he already has that particular environment as one of his favored terrains, his bonus for that terrain increases by +2.	Craft Wondrous Item, pass without trace, creator must be a ranger; Cost 1,200 gp
Bottle of Mesages	faint illusion	3rd	- 	300 gp	1 lb	This green glass bottle has a tiny winding key on its elongated stem that, if turned, causes a shadowy cork to slowly become substantial over a 1-round period. Anything the owner of the bottle speaks into the bottle during this time (up to 25 words) gets trapped inside it once the cork fully manifests. As soon as the cork is removed or the bottle is smashed, this message is released exactly as if the owner had spoken the words at that moment. Once the bottle releases its message, it shatters.	Craft Wondrous Item, magic mouth; Cost 150 gp
Bracelet of Mercy	faint conjuration (healing)	5th	wrist	15,000 gp	-	Each gem in this metal bracelet has a tiny inscription from a holy book. If the wearer has the mercy class feature, she gains the diseased mercy. If the wearer already has that mercy, her effective caster level for removing diseases increases by +4.	Craft Wondrous Item, remove disease; Cost 7,500 gp
Campfire Bead	faint evocation	1st	-	720 gp	-	This tiny glass bead transforms itself into a small (2-foot-tall) pile of burning logs whenever its command word is spoken. The fire burns for 8 hours or until extinguished, at which point it turns back into a bead. The owner of the item must wait twice as long as the fire burned before he can order the bead to become a campfire again.	Craft Wondrous Item, produce flame; Cost 360 gp
Catching Cape	faint abjuration	1st	shoulders	200 gp	3 lbs	This silvery cape furls and ripples like a flag with every step its owner takes. The wearer can, as a swift action, order the cape to transform into a faint sphere of force that surrounds him on all sides. The field grants the wearer a concealment (20% miss chance) against ranged attacks and lasts for 1 minute or until the wearer is missed by a ranged attack due to the power of the cloak, whichever comes first. When the field ends, all magic is lost from the cloak, leaving only a mundane silvery garment.	Craft Wondrous Item, shield; Cost 100 gp
Cauldron of Brewing	faint transmutation	5th	-	3,000 gp	5 lbs	A cauldron of brewing looks like a fine cooking pot with four stout legs. The cauldron is capable of heating any liquid placed in it to a precise temperature (anywhere from just above room temperature to hot enough to boil salt water) and maintaining it indefinitely while still remaining only slightly warm to the touch on the outside. A cauldron of brewing provides a +5 competence bonus on Craft (alchemy) skill checks.	Craft Wondrous Item, trained in Craft (Alchemy); Cost 1,500 gp
Cauldron of Flying	moderate transmutation	10th	-	10th	100 lbs	This iron pot is large enough for two Medium humanoids to stand in comfortably. Upon command, the cauldron and up to 500 pounds of additional weight can fly as if using overland flight. The cauldron moves under the direction of the person who spoke the activating command word. It can carry up to double its capacity, but doing so reduces its speed to 30 feet. It can hover in place without the need for a Fly skill check. The cauldron provides partial cover for anyone standing in it. It has a hardness of 10 and 60 hit points.	Craft Wondrous Item, overland flight; Cost 20,000 gp
Cauldron of Plenty	strong conjuration	12th	-	15,000 gp	25 lbs	This enchanted iron pot can produce nourishing, simple fare sufficient to feed up to 36 people per day upon command. Once per week it can also be commanded to create a heroes' feast for up to 12 people. The cauldron needs neither fire nor ingredients to produce food; it does so instantly upon command.	Craft Wondrous Item, create food and water, heroes' feast; Cost 7,500 gp
Cauldron of Resurrection	strong conjuration (healing)	13th	-	33,000 gp	35 lbs	The mouth of this heavy, dark iron cauldron is shaped like a monstrous maw and is large enough to accommodate a single Medium creature. When the cauldron is filled with pure water and certain rare and sacred herbs, and a deceased creature is placed inside it, the cauldron can restore the creature to life as if from a raise dead or resurrection spell. The spell effect depends on the components used: raise dead costs 5,000 gp worth of materials, while resurrection costs 10,000 gp worth of materials. The cauldron can function once per day.	Craft Wondrous Item, resurrection; Cost 16,500 gp
Cauldron of Seeing	moderate divination	10th	-	42,000 gp	5 lbs	When filled with liquid, this small cauldron allows the user to see over virtually any distance as if using the scrying spell. It may have additional powers like those of a crystal ball for the same prices.	Craft Wondrous Item, scrying; Cost 21,000 gp
Cauldron of the Dead	moderate necromancy	9th	-	30,000 gp	35 lbs	This cauldron of dark iron is large enough to accommodate a single Medium creature. When filled with a mixture of water and rare herbs, the cauldron transforms any dead body placed in it into a zombie as if animated by an animate dead spell. Each corpse animated uses up 25 gp in materials per Hit Die, and the cauldron can animate one corpse per round. The user of the cauldron commands the undead so created—up to 12 HD, unless the user can cast the animate dead spell, in which case that spell's limit is used; animating more beyond this limit causes earlier specimens to become uncontrolled.	Craft Wondrous Item, animate dead; Cost 15,000 gp
